Reference, Value, Footprint, Datasheet
P3,HID,Midnyte:pin_array_4x1_angled,
SW3,+BRIGHTNESS,Midnyte:BUTTON,
SW2,-BRIGHTNESS,Midnyte:BUTTON,
RBRIGHT-1,100,SMD:SMD-0402,
RDIM-1,100,SMD:SMD-0402,
SW1,RESET,Midnyte:BUTTON,
CUCAP1,1uF,SMD:SMD-0402,
CXTAL1,18pF,SMD:SMD-0402,
CXTAL2,18pF,SMD:SMD-0402,
RRESET+1,10k,SMD:SMD-0402,
RRESET-1,100,SMD:SMD-0402,
CVBUS1,0.1uF,SMD:SMD-0402,
C2,0.1uF,SMD:SMD-0402,
C4,0.1uF,SMD:SMD-0402,
C6,0.1uF,SMD:SMD-0402,
C8,0.1uF,SMD:SMD-0402,
C10,0.1uF,SMD:SMD-0402,
C12,0.1uF,SMD:SMD-0402,
P4,AVR_JTAG,Midnyte:3220-10-0100-00,
X1,XTAL-2,Midnyte:CSM-7X,
CHID1,1uF,SMD:SMD-0402,
CHID2,0.1uF,SMD:SMD-0402,
RTCK1,100k,SMD:SMD-0402,
RTDO1,100k,SMD:SMD-0402,
RTMS1,100k,SMD:SMD-0402,
RTDI1,100k,SMD:SMD-0402,
U1,ATmega32U4,DFN,QFN:QFN-44-1EP,
RBRIGHT+1,10k,SMD:SMD-0402,
RDIM+1,10k,SMD:SMD-0402,
CBRIGHT1,0.1uF,SMD:SMD-0402,
CDIM1,0.1uF,SMD:SMD-0402,
CRESET1,0.1uF,SMD:SMD-0402,
CON1,USB-MINI-B,Midnyte:10033526-N3212LF,
C1,0.1uF,SMD:SMD-0402,
C3,0.1uF,SMD:SMD-0402,
C5,0.1uF,SMD:SMD-0402,
C7,0.1uF,SMD:SMD-0402,
C9,0.1uF,SMD:SMD-0402,
C11,0.1uF,SMD:SMD-0402,
U4,23LC1024,SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U5,M25P80,Midnyte:VDFN-8,
RFPROT1,10k,SMD:SMD-0402,
P1,HOLE-M3,Midnyte:HOLE-M3,
P2,HOLE-M3,Midnyte:HOLE-M3,
RHOLD2,10k,SMD:SMD-0402,
RHOLD1,10k,SMD:SMD-0402,
U3,74HC42,SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
U2,SX8652,Midnyte:TDFN14,
RNIRQ1,10k,SMD:SMD-0402,
U8,LT1939,Midnyte:DFN12,
U7,LTC4412,Midnyte:TSOT-23,
U6,MAX8600A,Midnyte:TDFN14,
U10,NCP1529,Midnyte:UDFN6,
U9,NCP1529,Midnyte:UDFN6,
CPSELECT1,47uF,SMD:SMD-0805,
CPMIC_IN1,2.2uF,SMD:SMD-0402,
CSS1,0.47uF,SMD:SMD-0402,
CVC1,220pF,SMD:SMD-0402,
RVC1,49.9k,SMD:SMD-0402,
RRT1,40.2k,SMD:SMD-0402,
CPMIC1,0.47uF,SMD:SMD-0402,
L1,4.7uH,Midnyte:ASPI-0530LR-4R7M-T2,
RPMIC5,42.2k,SMD:SMD-0402,
RPMIC7,8.06k,SMD:SMD-0402,
CPMIC3,22uF,SMD:SMD-0805,
RPMIC3,8.06k,SMD:SMD-0402,
RPMIC4,100k,SMD:SMD-0402,
RPMIC6,8.06k,SMD:SMD-0402,
CPMIC2,1uF,SMD:SMD-0402,
RPMIC2,42.2k,SMD:SMD-0402,
CRAIL2,10uF,SMD:SMD-0402,
CRAIL1,10uF,SMD:SMD-0402,
CBUCK1,4.7uF,SMD:SMD-0402,
CBUCK2,4.7uF,SMD:SMD-0402,
L3,2.2uH,Midnyte:LTF5022T-2R2N3R2-LC,
L2,2.2uH,Midnyte:LTF5022T-2R2N3R2-LC,
RFB3,4.32M,SMD:SMD-0402,
RFB5,597k,SMD:SMD-0402,
RFB1,2.7M,SMD:SMD-0402,
RFB2,597k,SMD:SMD-0402,
D2,SCHOTTKY,Diodes:Diode-SMA_Standard,
Q1,FQP27P06,SOT:SOT23_Transistor_RevB_14Mar2014,
CCT1,680nF,SMD:SMD-0402,
RSETI1,2k,SMD:SMD-0402,
CBAT1,2.2uF,SMD:SMD-0402,
TH1,10k@25C,SMD:SMD-0402,
RFLT1,100k,SMD:SMD-0402,
RCHG1,660,SMD:SMD-0402,
D1,DIODE,SMD:SMD-0402,
Q2,FQP27P06,SOT:SOT23_Transistor_RevB_14Mar2014,
D5,DIODE,SMD:SMD-0402,
D3,SCHOTTKY,Diodes:Diode-SMA_Standard,
D4,SCHOTTKY,Diodes:Diode-SMA_Standard,
RFB4,80k,SMD:SMD-0402,
CFB2,18pF,SMD:SMD-0402,
CFB1,18pF,SMD:SMD-0402,
RPMIC1,10k,SMD:SMD-0402,
RPOK1,10k,SMD:SMD-0402,
SW4,POWER,Midnyte:TO-220,
REN1,10k,SMD:SMD-0402,
RPOWER1,10k,SMD:SMD-0402,
P5,BATTERY,Midnyte:1954097-1,
K1,WALL,Midnyte:PJ-002AH-SMT,
Q3,N-CHANNEL_FET,SOT:SOT23_Transistor_RevB_14Mar2014,
RPSTATUS1,10k,SMD:SMD-0402,
CPOWER1,0.1uF,SMD:SMD-0402,
P6,ROW0L,Midnyte:pin_array_8x1,
P7,ROW0R,Midnyte:pin_array_8x1,
P8,ROW1L,Midnyte:pin_array_8x1,
P9,ROW1R,Midnyte:pin_array_8x1,
P10,ROW2L,Midnyte:pin_array_8x1,
P11,ROW2R,Midnyte:pin_array_8x1,
U11,74HC595CS,SMD:TSSOP-16,
U14,74HC595CS,SMD:TSSOP-16,
U12,74HC595CS,SMD:TSSOP-16,
U15,74HC595CS,SMD:TSSOP-16,
U13,74HC595CS,SMD:TSSOP-16,
U16,74HC595CS,SMD:TSSOP-16,
U17,TLC5940,DFN,QFN:QFN-32-1EP,
U18,TLC5940,DFN,QFN:QFN-32-1EP,
U19,TLC5940,DFN,QFN:QFN-32-1EP,
P12,RED0L,Midnyte:pin_array_8x1,
P13,RED0R,Midnyte:pin_array_8x1,
P14,GREEN0L,Midnyte:pin_array_8x1,
P15,GREEN0R,Midnyte:pin_array_8x1,
P16,BLUE0L,Midnyte:pin_array_8x1,
P17,BLUE0R,Midnyte:pin_array_8x1,
RXERR1,10k,SMD:SMD-0402,
RXERR2,10k,SMD:SMD-0402,
RXERR3,10k,SMD:SMD-0402,
CTLC1,0.1uF,SMD:SMD-0402,
CTLC2,0.1uF,SMD:SMD-0402,
CTLC3,0.1uF,SMD:SMD-0402,
IREF1,7.68k,SMD:SMD-0402,
IREF2,7.68k,SMD:SMD-0402,
IREF3,7.68k,SMD:SMD-0402,
RBLANK1,10k,SMD:SMD-0402,
RBLANK2,10k,SMD:SMD-0402,
RBLANK3,10k,SMD:SMD-0402,
U20,TLC5940,DFN,QFN:QFN-32-1EP,
U21,TLC5940,DFN,QFN:QFN-32-1EP,
U22,TLC5940,DFN,QFN:QFN-32-1EP,
P18,RED1L,Midnyte:pin_array_8x1,
P19,RED1R,Midnyte:pin_array_8x1,
P20,GREEN1L,Midnyte:pin_array_8x1,
P21,GREEN1R,Midnyte:pin_array_8x1,
P22,BLUE1L,Midnyte:pin_array_8x1,
P23,BLUE1R,Midnyte:pin_array_8x1,
RXERR4,10k,SMD:SMD-0402,
RXERR5,10k,SMD:SMD-0402,
RXERR6,10k,SMD:SMD-0402,
CTLC4,0.1uF,SMD:SMD-0402,
CTLC5,0.1uF,SMD:SMD-0402,
CTLC6,0.1uF,SMD:SMD-0402,
IREF4,7.68k,SMD:SMD-0402,
IREF5,7.68k,SMD:SMD-0402,
IREF6,7.68k,SMD:SMD-0402,
RBLANK4,10k,SMD:SMD-0402,
RBLANK5,10k,SMD:SMD-0402,
RBLANK6,10k,SMD:SMD-0402,
U23,TLC5940,DFN,QFN:QFN-32-1EP,
U24,TLC5940,DFN,QFN:QFN-32-1EP,
U25,TLC5940,DFN,QFN:QFN-32-1EP,
P24,RED2L,Midnyte:pin_array_8x1,
P25,RED2R,Midnyte:pin_array_8x1,
P26,GREEN2L,Midnyte:pin_array_8x1,
P27,GREEN2R,Midnyte:pin_array_8x1,
P28,BLUE2L,Midnyte:pin_array_8x1,
P29,BLUE2R,Midnyte:pin_array_8x1,
RXERR7,10k,SMD:SMD-0402,
RXERR8,10k,SMD:SMD-0402,
RXERR9,10k,SMD:SMD-0402,
CTLC7,0.1uF,SMD:SMD-0402,
CTLC8,0.1uF,SMD:SMD-0402,
CTLC9,0.1uF,SMD:SMD-0402,
IREF7,7.68k,SMD:SMD-0402,
IREF8,7.68k,SMD:SMD-0402,
IREF9,7.68k,SMD:SMD-0402,
RBLANK7,10k,SMD:SMD-0402,
RBLANK8,10k,SMD:SMD-0402,
RBLANK9,10k,SMD:SMD-0402,
